Genome	Organism/Name	Strain	CladeID	BioSample	BioProject	Group	SubGroup	Assembly	Size (Mb)	GC%	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Level
GCA_001190805.1_ASM119080v1_genomic.fna	Streptococcus agalactiae	HN016	20122	SAMN02992126 	PRJNA258321	Terrabacteria group	Firmicutes	GCA_001190805.1 	2.06472	35.7	chromosome:NZ_CP011325.1/CP011325.1	-	1	2060	1944	2015/08/03	2015/11/10	Complete Genome
GCA_001190885.1_ASM119088v1_genomic.fna	Streptococcus agalactiae	H002	20122	SAMN02991570 	PRJNA258310	Terrabacteria group	Firmicutes	GCA_001190885.1 	2.14742	35.7	chromosome:NZ_CP011329.1/CP011329.1	-	1	2140	2008	2015/08/03	2015/10/13	Complete Genome
GCA_001266635.1_ASM126663v1_genomic.fna	Streptococcus agalactiae	GBS85147	20122	SAMN03108598 	PRJNA263907	Terrabacteria group	Firmicutes	GCA_001266635.1 	1.99615	35.5	chromosome:NZ_CP010319.1/CP010319.1	-	1	1982	1876	2015/08/11	2016/06/07	Complete Genome
GCA_001275545.2_ASM127554v2_genomic.fna	Streptococcus agalactiae	SG-M1	20122	SAMN04002524 	PRJNA293392	Terrabacteria group	Firmicutes	GCA_001275545.2 	2.11681	35.5	chromosome:NZ_CP012419.2/CP012419.2	-	1	2169	2037	2015/08/31	2016/01/27	Complete Genome
GCA_001448985.1_ASM144898v1_genomic.fna	Streptococcus agalactiae	GBS ST-1	20122	SAMN04111187 	PRJNA296923	Terrabacteria group	Firmicutes	GCA_001448985.1 	2.16597	35.4	chromosome:NZ_CP013202.1/CP013202.1	-	1	2187	2055	2015/11/30	2016/03/09	Complete Genome
GCA_001552035.1_ASM155203v1_genomic.fna	Streptococcus agalactiae	NGBS128	20122	SAMN04007140 	PRJNA293561	Terrabacteria group	Firmicutes	GCA_001552035.1 	2.07912	35.7038	chromosome:NZ_CP012480.1/CP012480.1; plasmid pNGBS128:NZ_CP012742.1/CP012742.1	-	2	2077	1914	2016/02/04	2016/03/10	Complete Genome
GCA_001592385.1_ASM159238v1_genomic.fna	Streptococcus agalactiae	CU_GBS_08	20122	SAMN03331945 	PRJNA274685	Terrabacteria group	Firmicutes	GCA_001592385.1 	2.08451	35.4	chromosome:NZ_CP010874.1/CP010874.1	-	1	2120	1999	2016/03/15	2016/03/17	Complete Genome
GCA_001592425.1_ASM159242v1_genomic.fna	Streptococcus agalactiae	CU_GBS_98	20122	SAMN03331944 	PRJNA274685	Terrabacteria group	Firmicutes	GCA_001592425.1 	2.02967	35.4	chromosome:NZ_CP010875.1/CP010875.1	-	1	2049	1935	2016/03/15	2016/03/17	Complete Genome
GCA_001655175.1_ASM165517v1_genomic.fna	Streptococcus agalactiae	S25	20122	SAMN05185185 	PRJNA323652	Terrabacteria group	Firmicutes	GCA_001655175.1 	1.83899	35.5	chromosome:CP015976.1	-	1	1880	1640	2016/06/03	2016/06/03	Complete Genome
GCA_001683515.1_ASM168351v1_genomic.fna	Streptococcus agalactiae	FWL1402	20122	SAMN05187216 	PRJNA323692	Terrabacteria group	Firmicutes	GCA_001683515.1 	2.09029	35.4	chromosome:NZ_CP016391.1/CP016391.1	-	1	2122	1994	2016/07/11	2016/07/12	Complete Genome
GCA_001190825.1_ASM119082v1_genomic.fna	Streptococcus agalactiae	YM001	20122	SAMN02996604 	PRJNA258349	Terrabacteria group	Firmicutes	GCA_001190825.1 	2.04796	35.6	chromosome:NZ_CP011326.1/CP011326.1	-	1	2041	1930	2015/08/03	2015/11/10	Chromosome
GCA_001190845.1_ASM119084v1_genomic.fna	Streptococcus agalactiae	GX064	20122	SAMN02991566 	PRJNA258307	Terrabacteria group	Firmicutes	GCA_001190845.1 	2.06435	35.7	chromosome:NZ_CP011327.1/CP011327.1	-	1	2044	1941	2015/08/03	2015/08/13	Chromosome
GCA_000196055.1_ASM19605v1_genomic.fna	Streptococcus agalactiae NEM316	NEM316	20122	SAMEA3138330 	PRJNA334	Terrabacteria group	Firmicutes	GCA_000196055.1 	2.21149	35.6	chromosome:NC_004368.1/AL732656.1	-	1	2217	2103	2002/11/07	2015/11/25	Chromosome
GCA_000186445.1_ASM18644v1_genomic.fna	Streptococcus agalactiae ATCC 13813	ATCC 13813	20122	SAMN00217013 	PRJNA53057	Terrabacteria group	Firmicutes	GCA_000186445.1 	2.28789	36.3	-	AEQQ01	21	2120	2005	2011/01/20	2015/08/08	Scaffold
GCA_000264975.1_ASM26497v1_genomic.fna	Streptococcus agalactiae ZQ0910	ZQ0910	20122	SAMN02469855 	PRJNA158929	Terrabacteria group	Firmicutes	GCA_000264975.1 	2.03491	35.5	-	AKAP01	14	1989	1924	2012/06/04	2015/08/09	Scaffold
GCA_000419015.1_S_agalactiaeMC632-1.0_genomic.fna	Streptococcus agalactiae MC632	MC632	20122	SAMN02436824 	PRJNA203071	Terrabacteria group	Firmicutes	GCA_000419015.1 	2.0379	35.2	-	ATOP01	308	2085	1770	2013/07/03	2015/08/14	Scaffold
GCA_000419055.2_S_agalactiaeMC629-1.0_genomic.fna	Streptococcus agalactiae MC629	MC629	20122	SAMN02436825 	PRJNA203069	Terrabacteria group	Firmicutes	GCA_000419055.2 	2.04976	35.3	-	ATOR01	34	2017	1959	2013/07/03	2015/11/10	Scaffold
GCA_000419075.2_S_agalactiaeMC628-1.0_genomic.fna	Streptococcus agalactiae MC628	MC628	20122	SAMN02436764 	PRJNA203068	Terrabacteria group	Firmicutes	GCA_000419075.2 	2.09399	35.2	-	ATOS01	50	2063	2006	2013/07/03	2015/11/10	Scaffold
GCA_000419095.2_S_agalactiaeMC627-1.0_genomic.fna	Streptococcus agalactiae MC627	MC627	20122	SAMN02436765 	PRJNA203067	Terrabacteria group	Firmicutes	GCA_000419095.2 	2.07348	35.3	-	ATOT01	117	2056	1980	2013/07/03	2015/11/10	Scaffold
GCA_000419115.2_S_agalactiaeMC626-1.0_genomic.fna	Streptococcus agalactiae MC626	MC626	20122	SAMN02436896 	PRJNA203066	Terrabacteria group	Firmicutes	GCA_000419115.2 	2.03745	35.1	-	ATOU01	59	2014	1948	2013/07/03	2015/11/10	Scaffold
GCA_000419135.2_S_agalactiaeMC625-1.0_genomic.fna	Streptococcus agalactiae MC625	MC625	20122	SAMN02436897 	PRJNA203065	Terrabacteria group	Firmicutes	GCA_000419135.2 	2.0579	35.3	-	ATOV01	40	2022	1961	2013/07/03	2015/11/10	Scaffold
GCA_000419155.2_S_agalactiaeMC624-1.0_genomic.fna	Streptococcus agalactiae MC624	MC624	20122	SAMN02436826 	PRJNA203064	Terrabacteria group	Firmicutes	GCA_000419155.2 	2.05811	35.3	-	ATOW01	37	2023	1968	2013/07/03	2015/11/10	Scaffold
GCA_000419175.2_S_agalactiaeMC623-1.0_genomic.fna	Streptococcus agalactiae MC623	MC623	20122	SAMN02436898 	PRJNA203063	Terrabacteria group	Firmicutes	GCA_000419175.2 	2.03704	35.1	-	ATOX01	36	2009	1954	2013/07/03	2015/11/10	Scaffold
GCA_000419195.2_S_agalactiaeMC621-1.0_genomic.fna	Streptococcus agalactiae MC621	MC621	20122	SAMN02436766 	PRJNA203062	Terrabacteria group	Firmicutes	GCA_000419195.2 	2.04927	35.3	-	ATOY01	38	2022	1961	2013/07/03	2015/11/10	Scaffold
GCA_000419215.1_S_agalactiaeGBS12-1.0_genomic.fna	Streptococcus agalactiae GBS12	GBS12	20122	SAMN02436767 	PRJNA203050	Terrabacteria group	Firmicutes	GCA_000419215.1 	2.04807	35.3	-	ATOZ01	66	2041	1944	2013/07/03	2015/08/11	Scaffold
GCA_000419235.1_S_agalactiaeGBS11-1.0_genomic.fna	Streptococcus agalactiae GBS11	GBS11	20122	SAMN02436827 	PRJNA203049	Terrabacteria group	Firmicutes	GCA_000419235.1 	2.07752	35.1	-	ATPA01	174	2088	1957	2013/07/03	2015/08/10	Scaffold
GCA_000419255.1_S_agalactiaeGBS10-1.0_genomic.fna	Streptococcus agalactiae GBS10	GBS10	20122	SAMN02436899 	PRJNA203048	Terrabacteria group	Firmicutes	GCA_000419255.1 	2.03276	35.1	-	ATPB01	379	2125	1818	2013/07/03	2015/08/10	Scaffold
GCA_000715295.1_StrAga1.0_genomic.fna	Streptococcus agalactiae	FNA07	20122	SAMN02727744 	PRJNA244605	Terrabacteria group	Firmicutes	GCA_000715295.1 	2.10501	35.5	-	JMBI01	66	2075	2010	2014/06/27	2015/08/07	Scaffold
GCA_000715315.1_StrAga1.0_genomic.fna	Streptococcus agalactiae	FPrA02	20122	SAMN02727743 	PRJNA244605	Terrabacteria group	Firmicutes	GCA_000715315.1 	2.04834	35.4	-	JMBJ01	105	2009	1958	2014/06/27	2015/08/07	Scaffold
GCA_001439905.1_ASM143990v1_genomic.fna	Streptococcus agalactiae	GB00411	20122	SAMN04168595 	PRJNA298901	Terrabacteria group	Firmicutes	GCA_001439905.1 	1.95396	35.4	-	LLVS01	174	1934	1838	2015/11/06	2015/11/18	Scaffold
GCA_001546675.1_ASM154667v1_genomic.fna	Streptococcus agalactiae	PSS_7568	20122	SAMN03948582 	PRJNA254651	Terrabacteria group	Firmicutes	GCA_001546675.1 	2.0896	35.2	-	LRQK01	39	2056	2000	2016/02/02	2016/02/03	Scaffold
GCA_001546685.1_ASM154668v1_genomic.fna	Streptococcus agalactiae	PSS_7625	20122	SAMN03948583 	PRJNA254648	Terrabacteria group	Firmicutes	GCA_001546685.1 	2.06828	35.1	-	LRQL01	36	2032	1974	2016/02/02	2016/02/03	Scaffold
GCA_001546695.1_ASM154669v1_genomic.fna	Streptococcus agalactiae	PSS_7632a	20122	SAMN03948584 	PRJNA254643	Terrabacteria group	Firmicutes	GCA_001546695.1 	2.17527	35.5	-	LRQM01	52	2194	2109	2016/02/02	2016/02/03	Scaffold
GCA_001546715.1_ASM154671v1_genomic.fna	Streptococcus agalactiae	PSS_7632b	20122	SAMN03950348 	PRJNA254645	Terrabacteria group	Firmicutes	GCA_001546715.1 	2.19274	35.3	-	LRQN01	31	2181	2101	2016/02/02	2016/02/03	Scaffold
GCA_001546755.1_ASM154675v1_genomic.fna	Streptococcus agalactiae	PSS_7678	20122	SAMN03950349 	PRJNA254653	Terrabacteria group	Firmicutes	GCA_001546755.1 	1.98998	35.3	-	LRQO01	42	1979	1882	2016/02/02	2016/02/03	Scaffold
GCA_001546775.1_ASM154677v1_genomic.fna	Streptococcus agalactiae	PSS_7722	20122	SAMN03956188 	PRJNA254654	Terrabacteria group	Firmicutes	GCA_001546775.1 	2.03161	35.3	-	LRQP01	85	1997	1940	2016/02/02	2016/02/03	Scaffold
GCA_001546785.1_ASM154678v1_genomic.fna	Streptococcus agalactiae	PSS_7736	20122	SAMN03956189 	PRJNA254657	Terrabacteria group	Firmicutes	GCA_001546785.1 	2.14275	35.2	-	LRQQ01	27	2143	2067	2016/02/02	2016/02/03	Scaffold
GCA_000167735.1_ASM16773v1_genomic.fna	Streptococcus agalactiae 515	515	20122	SAMN02435850 	PRJNA15606	Terrabacteria group	Firmicutes	GCA_000167735.1 	2.08823	35.3	-	AAJP01	255	2110	1886	2005/10/06	2015/08/12	Contig
GCA_000167755.1_ASM16775v1_genomic.fna	Streptococcus agalactiae CJB111	CJB111	20122	SAMN02435851 	PRJNA15607	Terrabacteria group	Firmicutes	GCA_000167755.1 	2.10503	35.6	-	AAJQ01	155	2114	1917	2005/10/06	2015/08/06	Contig
GCA_000221325.2_ASM22132v2_genomic.fna	Streptococcus agalactiae FSL S3-026	FSL S3-026	20122	SAMN02428925 	PRJNA46683	Terrabacteria group	Firmicutes	GCA_000221325.2 	2.45585	36.1	-	AEXT01	8	2438	2239	2011/07/25	2015/11/25	Contig
GCA_000287955.1_ASM28795v1_genomic.fna	Streptococcus agalactiae MRI Z1-211	MRI Z1-211	20122	SAMN00993326 	PRJNA86407	Terrabacteria group	Firmicutes	GCA_000287955.1 	2.12051	35.4	-	ALSB01	21	2106	2032	2012/08/15	2015/08/09	Contig
GCA_000287975.1_ASM28797v1_genomic.fna	Streptococcus agalactiae MRI Z1-039	MRI Z1-039	20122	SAMN00993336 	PRJNA86399	Terrabacteria group	Firmicutes	GCA_000287975.1 	1.98521	35	-	ALSA01	176	2122	1893	2012/08/15	2015/07/30	Contig
GCA_000288035.1_ASM28803v1_genomic.fna	Streptococcus agalactiae LDS 617	LDS 617	20122	SAMN00993319 	PRJNA86427	Terrabacteria group	Firmicutes	GCA_000288035.1 	2.02891	35.5	-	ALSG01	132	2174	1926	2012/08/15	2015/08/09	Contig
GCA_000288095.1_ASM28809v1_genomic.fna	Streptococcus agalactiae GB00013	GB00013	20122	SAMN00991162 	PRJNA86461	Terrabacteria group	Firmicutes	GCA_000288095.1 	2.05771	35.3	-	ALSO01	18	2049	1981	2012/08/15	2015/08/09	Contig
GCA_000288115.1_ASM28811v1_genomic.fna	Streptococcus agalactiae GB00018	GB00018	20122	SAMN00991160 	PRJNA86463	Terrabacteria group	Firmicutes	GCA_000288115.1 	1.97685	35.2	-	ALSP01	19	1968	1890	2012/08/15	2015/08/09	Contig
GCA_000288135.1_ASM28813v1_genomic.fna	Streptococcus agalactiae GB00012	GB00012	20122	SAMN00991159 	PRJNA86459	Terrabacteria group	Firmicutes	GCA_000288135.1 	2.11656	35.3	-	ALSN01	20	2079	2007	2012/08/15	2015/08/09	Contig
GCA_000288155.1_ASM28815v1_genomic.fna	Streptococcus agalactiae GB00003	GB00003	20122	SAMN00991158 	PRJNA86457	Terrabacteria group	Firmicutes	GCA_000288155.1 	2.14408	35.3	-	ALSM01	25	2165	2102	2012/08/15	2015/08/09	Contig
GCA_000288175.1_ASM28817v1_genomic.fna	Streptococcus agalactiae GB00241	GB00241	20122	SAMN00991184 	PRJNA86493	Terrabacteria group	Firmicutes	GCA_000288175.1 	2.14028	35.3	-	ALTE01	20	2161	2091	2012/08/15	2015/08/09	Contig
GCA_000288195.1_ASM28819v1_genomic.fna	Streptococcus agalactiae GB00226	GB00226	20122	SAMN00991185 	PRJNA86491	Terrabacteria group	Firmicutes	GCA_000288195.1 	2.10897	35.3	-	ALTD01	25	2100	2008	2012/08/15	2015/08/09	Contig
GCA_000288215.1_ASM28821v1_genomic.fna	Streptococcus agalactiae GB00082	GB00082	20122	SAMN00991161 	PRJNA86467	Terrabacteria group	Firmicutes	GCA_000288215.1 	2.04603	35.1	-	ALSR01	23	2051	1970	2012/08/15	2015/08/09	Contig
GCA_000288235.1_ASM28823v1_genomic.fna	Streptococcus agalactiae GB00020	GB00020	20122	SAMN00991163 	PRJNA86465	Terrabacteria group	Firmicutes	GCA_000288235.1 	2.06414	35.3	-	ALSQ01	24	2048	1978	2012/08/15	2015/08/09	Contig
GCA_000288255.1_ASM28825v1_genomic.fna	Streptococcus agalactiae GB00083	GB00083	20122	SAMN00991156 	PRJNA86469	Terrabacteria group	Firmicutes	GCA_000288255.1 	2.07303	35.2	-	ALSS01	21	2071	1985	2012/08/15	2015/08/09	Contig
GCA_000288275.1_ASM28827v1_genomic.fna	Streptococcus agalactiae GB00247	GB00247	20122	SAMN00991187 	PRJNA86497	Terrabacteria group	Firmicutes	GCA_000288275.1 	2.00429	35.2	-	ALTG01	16	1986	1911	2012/08/15	2015/08/09	Contig
GCA_000288295.1_ASM28829v1_genomic.fna	Streptococcus agalactiae GB00901	GB00901	20122	SAMN00991449 	PRJNA86561	Terrabacteria group	Firmicutes	GCA_000288295.1 	2.17927	35.2	-	ALUK01	24	2191	2117	2012/08/15	2015/08/09	Contig
GCA_000288315.1_ASM28831v1_genomic.fna	Streptococcus agalactiae GB00264	GB00264	20122	SAMN00991180 	PRJNA86499	Terrabacteria group	Firmicutes	GCA_000288315.1 	2.05712	35.2	-	ALTH01	32	2060	1984	2012/08/15	2015/08/09	Contig
GCA_000288335.1_ASM28833v1_genomic.fna	Streptococcus agalactiae GB00245	GB00245	20122	SAMN00991186 	PRJNA86495	Terrabacteria group	Firmicutes	GCA_000288335.1 	1.92928	35.2	-	ALTF01	18	1909	1847	2012/08/15	2015/08/09	Contig
GCA_000288355.1_ASM28835v1_genomic.fna	Streptococcus agalactiae GB00279	GB00279	20122	SAMN00991181 	PRJNA86501	Terrabacteria group	Firmicutes	GCA_000288355.1 	2.10613	35.4	-	ALTI01	27	2115	2043	2012/08/15	2015/08/09	Contig
GCA_000288375.1_ASM28837v1_genomic.fna	Streptococcus agalactiae GB00904	GB00904	20122	SAMN00991429 	PRJNA86563	Terrabacteria group	Firmicutes	GCA_000288375.1 	2.17401	35.7	-	ALUL01	38	2177	2081	2012/08/15	2015/08/09	Contig
GCA_000288395.1_ASM28839v1_genomic.fna	Streptococcus agalactiae GB00911	GB00911	20122	SAMN00991430 	PRJNA86567	Terrabacteria group	Firmicutes	GCA_000288395.1 	2.02565	35.2	-	ALUN01	25	2016	1937	2012/08/15	2015/08/09	Contig
GCA_000288415.1_ASM28841v1_genomic.fna	Streptococcus agalactiae GB00909	GB00909	20122	SAMN00991450 	PRJNA86565	Terrabacteria group	Firmicutes	GCA_000288415.1 	2.06678	35	-	ALUM01	22	2056	1982	2012/08/15	2015/08/09	Contig
GCA_000288435.1_ASM28843v1_genomic.fna	Streptococcus agalactiae GB00922	GB00922	20122	SAMN00991427 	PRJNA86573	Terrabacteria group	Firmicutes	GCA_000288435.1 	2.11727	35.3	-	ALUP01	17	2122	2051	2012/08/15	2015/08/09	Contig
GCA_000288455.1_ASM28845v1_genomic.fna	Streptococcus agalactiae GB00914	GB00914	20122	SAMN00991426 	PRJNA86569	Terrabacteria group	Firmicutes	GCA_000288455.1 	2.04179	35.2	-	ALUO01	25	2033	1969	2012/08/15	2015/08/09	Contig
GCA_000288475.1_ASM28847v1_genomic.fna	Streptococcus agalactiae GB00923	GB00923	20122	SAMN00991435 	PRJNA86575	Terrabacteria group	Firmicutes	GCA_000288475.1 	2.21459	35.6	-	ALUQ01	46	2240	2129	2012/08/15	2015/08/09	Contig
GCA_000288495.1_ASM28849v1_genomic.fna	Streptococcus agalactiae GB00924	GB00924	20122	SAMN00991436 	PRJNA86577	Terrabacteria group	Firmicutes	GCA_000288495.1 	2.06022	35.3	-	ALUR01	24	2048	1980	2012/08/15	2015/08/09	Contig
GCA_000288515.1_ASM28851v1_genomic.fna	Streptococcus agalactiae GB00929	GB00929	20122	SAMN00991362 	PRJNA86579	Terrabacteria group	Firmicutes	GCA_000288515.1 	2.21954	35.7	-	ALUS01	47	2238	2138	2012/08/15	2015/08/09	Contig
GCA_000288535.1_ASM28853v1_genomic.fna	Streptococcus agalactiae GB00932	GB00932	20122	SAMN00991363 	PRJNA86581	Terrabacteria group	Firmicutes	GCA_000288535.1 	1.97791	35.2	-	ALUT01	18	1973	1892	2012/08/15	2015/08/09	Contig
GCA_000288555.1_ASM28855v1_genomic.fna	Streptococcus agalactiae GB00933	GB00933	20122	SAMN00991447 	PRJNA86583	Terrabacteria group	Firmicutes	GCA_000288555.1 	2.01999	35.2	-	ALUU01	25	2017	1931	2012/08/15	2015/08/09	Contig
GCA_000288575.1_ASM28857v1_genomic.fna	Streptococcus agalactiae GB00947	GB00947	20122	SAMN00991364 	PRJNA86587	Terrabacteria group	Firmicutes	GCA_000288575.1 	2.0998	35.3	-	ALUV01	268	2171	2001	2012/08/15	2015/08/02	Contig
GCA_000288615.1_ASM28861v1_genomic.fna	Streptococcus agalactiae GB00959	GB00959	20122	SAMN00991434 	PRJNA86597	Terrabacteria group	Firmicutes	GCA_000288615.1 	2.06766	35.4	-	ALUX01	217	2115	1943	2012/08/15	2015/08/18	Contig
GCA_000288635.1_ASM28863v1_genomic.fna	Streptococcus agalactiae GB00975	GB00975	20122	SAMN00991367 	PRJNA86603	Terrabacteria group	Firmicutes	GCA_000288635.1 	2.111	35.4	-	ALUY01	95	2143	2045	2012/08/15	2015/08/09	Contig
GCA_000288655.1_ASM28865v1_genomic.fna	Streptococcus agalactiae GB00984	GB00984	20122	SAMN00991368 	PRJNA86605	Terrabacteria group	Firmicutes	GCA_000288655.1 	2.14833	35.5	-	ALUZ01	56	2170	2071	2012/08/15	2015/08/09	Contig
GCA_000288675.1_ASM28867v1_genomic.fna	Streptococcus agalactiae CCUG 19094	CCUG 19094	20122	SAMN00991067 	PRJNA86209	Terrabacteria group	Firmicutes	GCA_000288675.1 	2.17804	35.3	-	ALQK01	52	2175	2083	2012/08/15	2015/08/09	Contig
GCA_000288695.1_ASM28869v1_genomic.fna	Streptococcus agalactiae CCUG 24810	CCUG 24810	20122	SAMN00991059 	PRJNA86211	Terrabacteria group	Firmicutes	GCA_000288695.1 	2.1622	35.4	-	ALQL01	40	2159	2073	2012/08/15	2015/08/09	Contig
GCA_000288715.1_ASM28871v1_genomic.fna	Streptococcus agalactiae CCUG 25532	CCUG 25532	20122	SAMN00991060 	PRJNA86213	Terrabacteria group	Firmicutes	GCA_000288715.1 	2.07537	35.3	-	ALQM01	20	2080	2014	2012/08/15	2015/08/09	Contig
GCA_000288735.1_ASM28873v1_genomic.fna	Streptococcus agalactiae CCUG 37430	CCUG 37430	20122	SAMN00991063 	PRJNA86223	Terrabacteria group	Firmicutes	GCA_000288735.1 	2.09639	35.2	-	ALQN01	20	2085	2013	2012/08/15	2015/08/09	Contig
GCA_000288775.1_ASM28877v1_genomic.fna	Streptococcus agalactiae CCUG 37738	CCUG 37738	20122	SAMN00991109 	PRJNA86229	Terrabacteria group	Firmicutes	GCA_000288775.1 	2.1659	35.3	-	ALQP01	31	2146	2072	2012/08/15	2015/08/09	Contig
GCA_000288795.1_ASM28879v1_genomic.fna	Streptococcus agalactiae CCUG 37741	CCUG 37741	20122	SAMN00991108 	PRJNA86235	Terrabacteria group	Firmicutes	GCA_000288795.1 	2.12745	35.3	-	ALQQ01	38	2109	2023	2012/08/15	2015/08/09	Contig
GCA_000288815.1_ASM28881v1_genomic.fna	Streptococcus agalactiae CCUG 37742	CCUG 37742	20122	SAMN00991112 	PRJNA86237	Terrabacteria group	Firmicutes	GCA_000288815.1 	2.17271	35.3	-	ALQR01	46	2169	2021	2012/08/15	2015/08/09	Contig
GCA_000288855.1_ASM28885v1_genomic.fna	Streptococcus agalactiae CCUG 39096 A	CCUG 39096 A	20122	SAMN00991104 	PRJNA86241	Terrabacteria group	Firmicutes	GCA_000288855.1 	2.09762	35.2	-	ALQT01	21	2108	2043	2012/08/15	2015/08/09	Contig
GCA_000288875.1_ASM28887v1_genomic.fna	Streptococcus agalactiae CCUG 44077	CCUG 44077	20122	SAMN00991103 	PRJNA86247	Terrabacteria group	Firmicutes	GCA_000288875.1 	2.10082	35.3	-	ALQU01	54	2121	2029	2012/08/15	2015/08/09	Contig
GCA_000288895.1_ASM28889v1_genomic.fna	Streptococcus agalactiae CCUG 49087	CCUG 49087	20122	SAMN00991096 	PRJNA86265	Terrabacteria group	Firmicutes	GCA_000288895.1 	2.0172	35.3	-	ALQV01	36	2002	1902	2012/08/15	2015/08/09	Contig
GCA_000288915.1_ASM28891v1_genomic.fna	Streptococcus agalactiae LMG 15085	LMG 15085	20122	SAMN00991085 	PRJNA86275	Terrabacteria group	Firmicutes	GCA_000288915.1 	1.97727	35.2	-	ALQW01	37	1970	1872	2012/08/15	2015/08/09	Contig
