Genome	EXC	INF	LNF	PLOT	NIPH	ALM	ASM
GCA_000289275.1_ASM28927v1_genomic.fna	1168	19	54	22	0	0	4
GCA_000289295.1_ASM28929v1_genomic.fna	820	363	70	5	6	0	3
GCA_000289315.1_ASM28931v1_genomic.fna	1187	51	25	3	0	0	1
GCA_000289335.2_sag142_v2.0_genomic.fna	1164	47	32	17	0	0	7
GCA_000289355.2_sag145_v2.0_genomic.fna	1219	33	8	3	3	0	1
GCA_000289375.1_ASM28937v1_genomic.fna	971	276	8	1	0	4	7
GCA_000289395.1_ASM28939v1_genomic.fna	1234	1	20	3	0	4	5
GCA_000289415.1_ASM28941v1_genomic.fna	1247	0	8	2	0	4	6
GCA_000289435.1_ASM28943v1_genomic.fna	1213	39	11	3	0	0	1
GCA_000289455.1_ASM28945v1_genomic.fna	1193	23	41	1	0	0	9
GCA_000289475.1_ASM28947v1_genomic.fna	1251	10	2	0	0	0	4
GCA_000289495.1_ASM28949v1_genomic.fna	1223	42	1	0	0	0	1
GCA_000289515.1_ASM28951v1_genomic.fna	1216	50	1	0	0	0	0
GCA_000289535.1_ASM28953v1_genomic.fna	1180	80	6	0	0	0	1
GCA_000289555.1_ASM28955v1_genomic.fna	1247	17	2	0	0	0	1
GCA_000289575.1_ASM28957v1_genomic.fna	854	403	6	0	0	0	4
GCA_000289595.1_ASM28959v1_genomic.fna	1244	16	3	0	0	0	4
GCA_000289615.1_ASM28961v1_genomic.fna	1250	16	1	0	0	0	0
GCA_000289635.1_ASM28963v1_genomic.fna	1219	46	1	0	0	0	1
GCA_000289655.1_ASM28965v1_genomic.fna	1243	16	2	0	0	2	4
GCA_000289675.1_ASM28967v1_genomic.fna	1158	106	3	0	0	0	0
GCA_000289695.1_ASM28969v1_genomic.fna	1123	32	67	43	2	0	0
GCA_000289715.1_ASM28971v1_genomic.fna	1205	19	28	11	0	0	4
GCA_000289735.1_ASM28973v1_genomic.fna	1172	29	46	17	0	0	3
GCA_000289755.1_ASM28975v1_genomic.fna	990	258	11	1	0	2	5
GCA_000289775.1_ASM28977v1_genomic.fna	1082	134	45	0	0	1	5
GCA_000289795.1_ASM28979v1_genomic.fna	1056	142	57	6	1	1	4
GCA_000289815.1_ASM28981v1_genomic.fna	1174	66	21	1	0	1	4
GCA_000289835.1_ASM28983v1_genomic.fna	1173	26	61	1	0	2	4
GCA_000289855.1_ASM28985v1_genomic.fna	1230	29	3	3	0	0	2
GCA_000289875.1_ASM28987v1_genomic.fna	1225	39	2	0	0	0	1
GCA_000289895.1_ASM28989v1_genomic.fna	1176	70	7	0	0	2	12
GCA_000289915.1_ASM28991v1_genomic.fna	1239	27	0	0	0	0	1
GCA_000289935.1_ASM28993v1_genomic.fna	1213	15	30	5	1	0	3
GCA_000289955.1_ASM28995v1_genomic.fna	1238	27	2	0	0	0	0
GCA_000289975.1_ASM28997v1_genomic.fna	1237	26	1	0	0	1	2
GCA_000289995.1_ASM28999v1_genomic.fna	1210	53	1	0	0	3	0
GCA_000290015.1_ASM29001v1_genomic.fna	436	819	9	0	1	0	2
GCA_000290035.1_ASM29003v1_genomic.fna	1133	126	5	0	0	1	2
GCA_000290055.1_ASM29005v1_genomic.fna	1235	30	0	0	0	0	2
GCA_000290075.1_ASM29007v1_genomic.fna	1217	48	1	0	0	0	1
GCA_000290095.1_ASM29009v1_genomic.fna	1196	69	2	0	0	0	0
GCA_000290115.1_ASM29011v1_genomic.fna	1232	33	2	0	0	0	0
GCA_000290135.1_ASM29013v1_genomic.fna	1242	17	5	1	0	0	2
GCA_000290155.1_ASM29015v1_genomic.fna	1241	23	2	0	0	0	1
GCA_000290175.1_ASM29017v1_genomic.fna	1234	28	2	0	0	0	3
GCA_000290195.1_ASM29019v1_genomic.fna	1245	17	2	1	0	0	2
GCA_000290215.1_ASM29021v1_genomic.fna	1234	31	2	0	0	0	0
GCA_000290235.1_ASM29023v1_genomic.fna	1226	37	2	0	0	1	1
GCA_000290255.1_ASM29025v1_genomic.fna	1232	31	1	1	0	0	2
GCA_000290275.1_ASM29027v1_genomic.fna	1230	34	1	0	0	0	2
GCA_000290295.1_ASM29029v1_genomic.fna	1218	47	1	0	0	0	1
GCA_000290315.1_ASM29031v1_genomic.fna	1247	15	2	0	0	0	3
GCA_000290335.1_ASM29033v1_genomic.fna	1244	13	9	0	0	0	1
GCA_000290355.1_ASM29035v1_genomic.fna	1226	36	1	1	0	0	3
GCA_000290375.1_ASM29037v1_genomic.fna	1241	23	2	0	0	0	1
GCA_000290395.1_ASM29039v1_genomic.fna	1239	25	0	1	0	0	2
GCA_000290415.1_ASM29041v1_genomic.fna	1239	25	1	1	0	0	1
GCA_000290435.1_ASM29043v1_genomic.fna	1244	22	0	0	0	0	1
GCA_000290455.1_ASM29045v1_genomic.fna	1209	50	4	1	0	1	2
GCA_000290475.1_ASM29047v1_genomic.fna	1220	43	1	1	0	0	2
GCA_000290495.1_ASM29049v1_genomic.fna	1236	25	1	0	4	0	1
GCA_000290515.1_ASM29051v1_genomic.fna	1228	35	4	0	0	0	0
GCA_000290535.1_ASM29053v1_genomic.fna	1115	9	90	51	0	0	2
GCA_000291585.1_ASM29158v1_genomic.fna	1236	23	6	0	0	0	2
GCA_000295815.1_ASM29581v1_genomic.fna	1121	85	37	10	0	0	14
GCA_000310265.1_ASM31026v1_genomic.fna	1165	24	58	10	0	1	9
GCA_000310285.1_ASM31028v1_genomic.fna	1166	79	14	2	0	1	5
GCA_000310305.1_ASM31030v1_genomic.fna	1121	143	2	1	0	0	0
GCA_000310325.1_ASM31032v1_genomic.fna	1260	1	4	1	0	0	1
GCA_000310345.1_ASM31034v1_genomic.fna	1055	22	163	26	0	0	1
GCA_000310365.1_ASM31036v1_genomic.fna	1184	56	18	1	0	2	6
GCA_000310385.1_ASM31038v1_genomic.fna	1218	44	1	0	0	0	4
GCA_000310405.1_ASM31040v1_genomic.fna	1236	21	3	1	0	0	6
GCA_000310425.1_ASM31042v1_genomic.fna	1131	93	35	4	0	1	3
GCA_000310445.1_ASM31044v1_genomic.fna	1223	41	1	1	0	0	1
GCA_000310465.1_ASM31046v1_genomic.fna	1246	18	2	1	0	0	0
GCA_000310485.1_ASM31048v1_genomic.fna	1205	60	1	0	0	0	1
GCA_000310505.1_ASM31050v1_genomic.fna	1235	26	2	0	0	0	4
GCA_000310525.1_ASM31052v1_genomic.fna	1234	24	7	1	0	0	1
GCA_000310545.1_ASM31054v1_genomic.fna	1247	16	2	1	0	0	1
GCA_000310565.1_ASM31056v1_genomic.fna	1229	1	30	0	0	2	5
GCA_000310585.1_ASM31058v1_genomic.fna	1183	18	52	13	0	0	1
GCA_000310605.1_ASM31060v1_genomic.fna	1240	22	1	2	0	0	2
GCA_000310625.1_ASM31062v1_genomic.fna	1247	18	2	0	0	0	0
GCA_000310645.1_ASM31064v1_genomic.fna	1206	60	0	0	0	0	1
GCA_000310665.1_ASM31066v1_genomic.fna	1210	48	1	2	0	0	6
GCA_000310685.1_ASM31068v1_genomic.fna	1191	54	16	3	0	0	3
GCA_000310705.1_ASM31070v1_genomic.fna	1226	28	11	1	0	0	1
GCA_000310725.1_ASM31072v1_genomic.fna	1251	9	3	0	0	0	4
GCA_000310745.1_ASM31074v1_genomic.fna	1243	20	2	0	0	0	2
GCA_000310765.1_ASM31076v1_genomic.fna	1226	37	3	0	0	0	1
GCA_000310785.1_ASM31078v1_genomic.fna	1255	12	0	0	0	0	0
GCA_000310805.1_ASM31080v1_genomic.fna	1187	67	7	0	0	0	6
GCA_000310825.1_ASM31082v1_genomic.fna	1245	21	0	0	0	0	1
GCA_000310845.1_ASM31084v1_genomic.fna	1251	14	0	2	0	0	0
GCA_000310865.1_ASM31086v1_genomic.fna	1255	12	0	0	0	0	0
GCA_000310885.1_ASM31088v1_genomic.fna	1252	11	3	0	0	0	1
GCA_000310905.1_ASM31090v1_genomic.fna	1233	23	8	1	0	0	2
GCA_000310925.1_ASM31092v1_genomic.fna	1109	37	102	15	0	0	4
GCA_000310945.1_ASM31094v1_genomic.fna	1228	32	3	1	0	0	3
GCA_000310965.1_ASM31096v1_genomic.fna	1238	19	3	4	3	0	0
GCA_000310985.1_ASM31098v1_genomic.fna	1249	16	2	0	0	0	0
GCA_000311005.1_ASM31100v1_genomic.fna	1235	18	11	3	0	0	0
GCA_000311025.1_ASM31102v1_genomic.fna	1246	11	9	1	0	0	0
GCA_000311045.1_ASM31104v1_genomic.fna	1243	0	21	3	0	0	0
GCA_000311065.1_ASM31106v1_genomic.fna	1221	36	4	0	0	1	5
GCA_000311085.1_ASM31108v1_genomic.fna	1243	12	10	2	0	0	0
GCA_000311105.1_ASM31110v1_genomic.fna	1207	42	11	0	0	1	6
GCA_000311125.1_ASM31112v1_genomic.fna	1191	40	21	10	1	0	4
GCA_000311145.1_ASM31114v1_genomic.fna	1233	32	0	1	0	0	1
GCA_000311165.1_ASM31116v1_genomic.fna	1257	9	0	0	0	0	1
GCA_000311185.1_ASM31118v1_genomic.fna	1236	28	2	0	0	0	1
GCA_000311205.1_ASM31120v1_genomic.fna	1237	13	15	2	0	0	0
GCA_000311225.1_ASM31122v1_genomic.fna	1122	58	67	17	0	0	3
GCA_000311245.1_ASM31124v1_genomic.fna	1233	33	0	1	0	0	0
GCA_000311265.1_ASM31126v1_genomic.fna	1237	25	1	0	3	0	1
GCA_000311285.1_ASM31128v1_genomic.fna	1206	5	47	4	0	0	5
GCA_000311305.1_ASM31130v1_genomic.fna	957	301	4	2	0	0	3
GCA_000311325.1_ASM31132v1_genomic.fna	1232	0	21	4	0	4	6
GCA_000311345.1_ASM31134v1_genomic.fna	872	275	84	24	0	2	10
GCA_000311365.1_ASM31136v1_genomic.fna	1238	24	4	0	0	0	1
GCA_000311385.1_ASM31138v1_genomic.fna	1013	250	4	0	0	0	0
GCA_000311405.1_ASM31140v1_genomic.fna	1200	66	0	0	0	0	1
GCA_000311425.1_ASM31142v1_genomic.fna	1180	77	9	1	0	0	0
GCA_000311445.1_ASM31144v1_genomic.fna	1245	14	6	0	0	0	2
GCA_000311465.1_ASM31146v1_genomic.fna	1249	17	1	0	0	0	0
GCA_000311485.1_ASM31148v1_genomic.fna	1250	15	2	0	0	0	0
GCA_000311505.1_ASM31150v1_genomic.fna	1250	16	1	0	0	0	0
GCA_000311525.1_ASM31152v1_genomic.fna	1251	16	0	0	0	0	0
GCA_000311545.1_ASM31154v1_genomic.fna	1255	12	0	0	0	0	0
GCA_000311565.1_ASM31156v1_genomic.fna	1222	37	3	0	0	0	5
GCA_000311585.1_ASM31158v1_genomic.fna	1260	7	0	0	0	0	0
GCA_000311605.1_ASM31160v1_genomic.fna	1223	38	1	1	0	0	4
GCA_000311625.1_ASM31162v1_genomic.fna	1251	15	0	0	0	0	1
GCA_000311645.1_ASM31164v1_genomic.fna	1229	37	0	0	1	0	0
GCA_000311665.1_ASM31166v1_genomic.fna	1240	22	4	0	1	0	0
GCA_000311685.1_SAG95_v1_genomic.fna	1253	10	3	0	0	0	1
GCA_000311705.1_ASM31170v1_genomic.fna	1231	29	3	0	0	0	4
GCA_000322485.1_ASM32248v1_genomic.fna	1262	4	0	0	0	0	1
GCA_000322505.1_ASM32250v1_genomic.fna	1239	27	0	0	0	0	1
GCA_000322525.1_ASM32252v1_genomic.fna	1250	8	2	0	0	0	7
GCA_000322545.1_ASM32254v1_genomic.fna	1219	37	3	0	0	0	8
GCA_000322565.1_ASM32256v1_genomic.fna	1164	81	20	0	0	1	1
GCA_000322585.1_ASM32258v1_genomic.fna	1187	64	10	4	0	1	1
GCA_000322605.1_ASM32260v1_genomic.fna	1152	38	47	26	0	0	4
GCA_000322625.1_ASM32262v1_genomic.fna	1224	40	3	0	0	0	0
GCA_000322645.1_ASM32264v1_genomic.fna	1230	30	5	0	0	0	2
GCA_000322665.1_ASM32266v1_genomic.fna	1226	36	3	0	0	0	2
GCA_000322685.1_ASM32268v1_genomic.fna	1253	13	1	0	0	0	0
GCA_000322705.1_ASM32270v1_genomic.fna	1248	11	2	0	0	0	6
GCA_000322725.1_ASM32272v1_genomic.fna	1246	18	2	0	0	0	1
GCA_000322745.1_ASM32274v1_genomic.fna	1166	17	82	0	0	1	1
GCA_000322765.1_ASM32276v1_genomic.fna	410	855	1	0	0	0	1
GCA_000322785.1_ASM32278v1_genomic.fna	1121	129	11	0	0	1	5
GCA_000322805.1_ASM32280v1_genomic.fna	1177	32	50	0	1	2	5
GCA_000322825.1_ASM32282v1_genomic.fna	1219	25	20	0	0	1	2
GCA_000322845.1_ASM32284v1_genomic.fna	1262	1	0	0	0	0	4
GCA_000322865.1_ASM32286v1_genomic.fna	1235	28	3	0	0	0	1
GCA_000322885.1_ASM32288v1_genomic.fna	1222	40	4	1	0	0	0
GCA_000322905.1_ASM32290v1_genomic.fna	1190	36	40	0	0	0	1
GCA_000322925.1_ASM32292v1_genomic.fna	1240	21	2	0	0	0	4
GCA_000322945.1_ASM32294v1_genomic.fna	1227	38	1	0	0	0	1
GCA_000322965.1_ASM32296v1_genomic.fna	1249	12	3	0	0	0	3
GCA_000322985.1_ASM32298v1_genomic.fna	1251	6	3	0	0	0	7
GCA_000323005.1_ASM32300v1_genomic.fna	1244	15	3	0	0	0	5
GCA_000323025.1_ASM32302v1_genomic.fna	1248	17	1	0	0	0	1
GCA_000323045.1_ASM32304v1_genomic.fna	1246	19	1	0	0	0	1
GCA_000323085.1_ASM32308v1_genomic.fna	1209	45	6	1	3	0	3
GCA_000323105.1_ASM32310v1_genomic.fna	1174	66	23	3	0	1	0
GCA_000323125.1_ASM32312v1_genomic.fna	1211	38	11	0	1	2	4
GCA_000323145.1_ASM32314v1_genomic.fna	1167	40	31	19	0	1	9
GCA_000323165.1_ASM32316v1_genomic.fna	1239	0	23	3	1	1	0
GCA_000344905.1_ASM34490v1_genomic.fna	1232	6	21	4	0	0	4
GCA_000347375.1_ASM34737v1_genomic.fna	1176	59	24	3	0	0	5
GCA_000347395.1_ASM34739v1_genomic.fna	1234	2	23	3	0	0	5
GCA_000347415.1_ASM34741v1_genomic.fna	1153	56	41	7	9	0	1
GCA_000347435.1_ASM34743v1_genomic.fna	1250	4	9	4	0	0	0
GCA_000367385.1_ASM36738v1_genomic.fna	1229	22	13	3	0	0	0
GCA_000372605.1_SA_version_1_genomic.fna	1224	34	6	2	0	0	1
GCA_000418955.1_S_agalactiaeMC634-1.0_genomic.fna	952	117	138	22	0	4	34
GCA_000418975.1_S_agalactiaeMC633-1.0_genomic.fna	850	136	210	36	0	2	33
GCA_000419015.1_S_agalactiaeMC632-1.0_genomic.fna	1022	81	115	27	0	1	21
GCA_000419035.1_S_agalactiaeMC631-1.0_genomic.fna	966	112	132	31	0	0	26
GCA_000419055.2_S_agalactiaeMC629-1.0_genomic.fna	1191	63	7	0	1	0	5
GCA_000419075.2_S_agalactiaeMC628-1.0_genomic.fna	1197	63	0	1	1	0	5
GCA_000419095.2_S_agalactiaeMC627-1.0_genomic.fna	1231	27	2	0	0	1	6
GCA_000419115.2_S_agalactiaeMC626-1.0_genomic.fna	1221	33	9	0	0	0	4
GCA_000419135.2_S_agalactiaeMC625-1.0_genomic.fna	1227	35	3	0	0	0	2
GCA_000419155.2_S_agalactiaeMC624-1.0_genomic.fna	1259	6	1	0	0	0	1
GCA_000419175.2_S_agalactiaeMC623-1.0_genomic.fna	1233	27	4	0	0	0	3
GCA_000419195.2_S_agalactiaeMC621-1.0_genomic.fna	1163	85	12	0	0	0	7
GCA_000419215.1_S_agalactiaeGBS12-1.0_genomic.fna	1216	22	18	5	0	0	6
GCA_000419235.1_S_agalactiaeGBS11-1.0_genomic.fna	1193	6	41	23	0	0	4
GCA_000419255.1_S_agalactiaeGBS10-1.0_genomic.fna	1046	26	137	50	0	0	8
GCA_000419275.1_S_agalactiae112469214-isolate1-1.0_genomic.fna	961	91	139	21	0	2	53
GCA_000454745.1_Final_Assembly_genomic.fna	1245	18	1	0	0	1	2
GCA_000454765.1_Final_Assembly_genomic.fna	1244	22	0	0	0	0	1
GCA_000454785.1_Final_Assembly_genomic.fna	1247	18	1	0	0	0	1
GCA_000454805.1_Final_Assembly_genomic.fna	1251	16	0	0	0	0	0
GCA_000454825.1_Final_Assembly_genomic.fna	1261	5	0	1	0	0	0
GCA_000454845.1_Final_Assembly_genomic.fna	1249	15	1	0	0	0	2
GCA_000454865.1_Final_Assembly_genomic.fna	1250	17	0	0	0	0	0
GCA_000454885.1_Final_Assembly_genomic.fna	1238	25	3	0	0	0	1
GCA_000454905.1_Final_Assembly_genomic.fna	1247	18	1	0	0	0	1
GCA_000454925.1_Final_Assembly_genomic.fna	1248	18	1	0	0	0	0
GCA_000454945.1_Final_Assembly_genomic.fna	1248	17	0	0	0	0	2
GCA_000454965.1_Final_Assembly_genomic.fna	1248	19	0	0	0	0	0
GCA_000454985.1_Final_Assembly_genomic.fna	1226	39	0	0	0	0	2
GCA_000455005.1_Final_Assembly_genomic.fna	1252	15	0	0	0	0	0
GCA_000455025.1_Final_Assembly_genomic.fna	1242	24	1	0	0	0	0
GCA_000455045.1_Final_Assembly_genomic.fna	1254	12	0	0	0	0	1
GCA_000455065.1_Final_Assembly_genomic.fna	1251	14	0	0	0	0	2
GCA_000455085.1_Final_Assembly_genomic.fna	1241	26	0	0	0	0	0
GCA_000455105.1_Final_Assembly_genomic.fna	1250	14	1	0	0	1	1
GCA_000510405.1_SaBV3L5v1.0_genomic.fna	1216	36	9	0	1	0	5
GCA_000714695.1_StrAga1.0_genomic.fna	1255	9	1	1	0	0	1
GCA_000715295.1_StrAga1.0_genomic.fna	1259	7	0	0	0	0	1
GCA_000715315.1_StrAga1.0_genomic.fna	1256	10	0	0	0	0	1
GCA_000736485.1_ASM73648v1_genomic.fna	1233	32	0	0	0	0	2
GCA_000825945.1_Bangui-IP-6_genomic.fna	1216	37	6	6	0	0	2
GCA_000825965.1_Bangui-IP-59_genomic.fna	1253	13	1	0	0	0	0
GCA_000825985.1_Bangui-IP-105_genomic.fna	1236	26	2	1	0	0	2
GCA_000826005.1_CCH210145919_genomic.fna	1212	50	3	2	0	0	0
GCA_000826025.1_Madagascar-IP-47_genomic.fna	1228	33	4	1	0	0	1
GCA_001010325.1_ASM101032v1_genomic.fna	1161	42	63	0	0	0	1
GCA_001010335.1_ASM101033v1_genomic.fna	1189	19	58	0	0	0	1
GCA_001010345.1_ASM101034v1_genomic.fna	1229	35	3	0	0	0	0
GCA_001015415.1_ASM101541v1_genomic.fna	1173	30	60	0	0	0	4
GCA_001015425.1_ASM101542v1_genomic.fna	1239	20	3	0	1	0	4
GCA_001015435.1_ASM101543v1_genomic.fna	1238	28	1	0	0	0	0
GCA_001015445.1_ASM101544v1_genomic.fna	1217	43	4	0	0	0	3
GCA_001015495.1_ASM101549v1_genomic.fna	1167	40	59	0	0	0	1
GCA_001015505.1_ASM101550v1_genomic.fna	1240	26	0	0	0	0	1
GCA_001015525.1_ASM101552v1_genomic.fna	1180	83	3	0	1	0	0
GCA_001015555.1_ASM101555v1_genomic.fna	1242	16	3	1	0	0	5
GCA_001015575.1_ASM101557v1_genomic.fna	1247	14	5	0	0	0	1
GCA_001015595.1_ASM101559v1_genomic.fna	1236	23	4	0	0	0	4
GCA_001015605.1_ASM101560v1_genomic.fna	1188	18	59	0	0	0	2
GCA_001015615.1_ASM101561v1_genomic.fna	1169	32	60	1	0	0	5
GCA_001015655.1_ASM101565v1_genomic.fna	1185	20	62	0	0	0	0
GCA_001015675.1_ASM101567v1_genomic.fna	1168	43	52	0	0	0	4
GCA_001015685.1_ASM101568v1_genomic.fna	1200	20	44	0	0	0	3
GCA_001015695.1_ASM101569v1_genomic.fna	1188	70	4	0	0	0	5
GCA_001015735.1_ASM101573v1_genomic.fna	1180	26	60	0	0	0	1
GCA_001015755.1_ASM101575v1_genomic.fna	1224	35	5	0	0	0	3
GCA_001015765.1_ASM101576v1_genomic.fna	1224	39	2	0	1	0	1
GCA_001015775.1_ASM101577v1_genomic.fna	1247	7	7	0	0	0	6
GCA_001015815.1_ASM101581v1_genomic.fna	1245	13	2	0	0	0	7
GCA_001015835.1_ASM101583v1_genomic.fna	1233	28	2	0	0	0	4
GCA_001015845.1_ASM101584v1_genomic.fna	1233	24	4	0	0	0	6
GCA_001015875.1_ASM101587v1_genomic.fna	1239	17	3	0	1	1	6
GCA_001015895.1_ASM101589v1_genomic.fna	1249	5	5	0	1	0	7
GCA_001015915.1_ASM101591v1_genomic.fna	1212	47	3	0	0	1	4
GCA_001015925.1_ASM101592v1_genomic.fna	1229	29	4	0	0	0	5
GCA_001015955.1_ASM101595v1_genomic.fna	1227	27	8	0	0	0	5
GCA_001015965.1_ASM101596v1_genomic.fna	1235	20	4	0	0	0	8
GCA_001015995.1_ASM101599v1_genomic.fna	1253	4	5	0	0	0	5
GCA_001016005.1_ASM101600v1_genomic.fna	1240	12	6	0	0	2	7
GCA_001016035.1_ASM101603v1_genomic.fna	1221	30	11	0	0	0	5
GCA_001016045.1_ASM101604v1_genomic.fna	1245	19	2	0	0	0	1
GCA_001016065.1_ASM101606v1_genomic.fna	1231	29	4	0	0	0	3
GCA_001016095.1_ASM101609v1_genomic.fna	1234	21	6	0	0	0	6
GCA_001016115.1_ASM101611v1_genomic.fna	1219	42	3	0	0	1	2
GCA_001016125.1_ASM101612v1_genomic.fna	1225	30	10	0	0	0	2
GCA_001016135.1_ASM101613v1_genomic.fna	1226	35	4	0	1	0	1
GCA_001016175.1_ASM101617v1_genomic.fna	1239	19	4	0	0	1	4
GCA_001016195.1_ASM101619v1_genomic.fna	1235	20	9	0	0	0	3
GCA_001016205.1_ASM101620v1_genomic.fna	1256	3	4	0	0	1	3
GCA_001016215.1_ASM101621v1_genomic.fna	1247	18	2	0	0	0	0
GCA_001016255.1_ASM101625v1_genomic.fna	1235	21	4	0	0	0	7
