Fasta	Genome	contig	Start	Stop	protID	name	url
GCA-000196055-protein1358.fasta	GCA_000196055	AL732656.1	1409264	1410113	1358	Uncharacterized protein	http://purl.uniprot.org/uniprot/Q8E4P3
GCA-000730215-protein4125.fasta	GCA_000730215	CP007631.2	2175590	2176376	4125	Repressor	http://purl.uniprot.org/uniprot/A0A0E1EK95
GCA-000196055-protein631.fasta	GCA_000196055	AL732656.1	646886	647810	631	Cell wall surface anchor family protein	http://purl.uniprot.org/uniprot/Q8E0S8
GCA-001026925-protein656.fasta	GCA_001026925	CP010867.1	685528	686251	656	CylG protein	http://purl.uniprot.org/uniprot/F8XZA4
GCA-001592385-protein144.fasta	GCA_001592385	CP010874.1	122095	122872	144	tRNA pseudouridine synthase A	http://purl.uniprot.org/uniprot/Q3K3S9
GCA-000196055-protein248.fasta	GCA_000196055	AL732656.1	263647	264106	248	Uncharacterized protein	http://purl.uniprot.org/uniprot/Q8E7B1
GCA-000689235-protein604.fasta	GCA_000689235	HG939456.1	635276	636506	604	ABC transporter substrate-binding protein	http://purl.uniprot.org/uniprot/A0A0E1EL06
GCA-000599965-protein56.fasta	GCA_000599965	CP007482.1	65518	66340	56	NH(3)-dependent NAD(+) synthetase	http://purl.uniprot.org/uniprot/Q3K383
GCA-000427035-protein2029.fasta	GCA_000427035	HF952104.1	241869	242616	2029	Rep protein	http://purl.uniprot.org/uniprot/A0A0H1NH12
GCA-000689235-protein863.fasta	GCA_000689235	HG939456.1	920308	920581	863	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A1D4QRM9
GCA-000427075-protein2705.fasta	GCA_000427075	HF952105.1	673694	673961	2705	hypothetical protein	http://purl.uniprot.org/uniparc/UPI000332E53F
GCA-000007265-protein285.fasta	GCA_000007265	AE009948.1	303993	305454	285	Nicotinate phosphoribosyltransferase	http://purl.uniprot.org/uniprot/Q8E1Q8
GCA-001190885-protein3752.fasta	GCA_001190885	CP011329.1	1974493	1976512	3752	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0002BC4A1C
GCA-001552035-protein2780.fasta	GCA_001552035	CP012480.1	724343	724595	2780	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A1S1FFY1
GCA-000782855-protein2516.fasta	GCA_000782855	CP006910.1	554950	555262	2516	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0002BB76AB
GCA-000831105-protein690.fasta	GCA_000831105	CP007572.1	705832	706966	690		
GCA-000007265-protein2076.fasta	GCA_000007265	AE009948.1	2127947	2128616	2076	L-serine dehydratase, iron-sulfur-dependent, beta subunit	http://purl.uniprot.org/uniprot/E7S1A1
GCA-000730215-protein3284.fasta	GCA_000730215	CP007631.2	1335147	1336029	3284	ABC transporter	http://purl.uniprot.org/uniprot/A0A0E1EIA9
GCA-000427055-protein582.fasta	GCA_000427055	HF952106.1	591189	591864	582		
GCA-000689235-protein215.fasta	GCA_000689235	HG939456.1	232905	234060	215	Integrase	http://purl.uniprot.org/uniprot/A0A1J7UZJ2
GCA-000007265-protein1691.fasta	GCA_000007265	AE009948.1	1744581	1744881	1691	Nucleoid-associated protein HMPREF9171_0490	http://purl.uniprot.org/uniprot/E7S2J4
GCA-000831105-protein1042.fasta	GCA_000831105	CP007572.1	1107978	1108302	1042	Uncharacterized protein	http://purl.uniprot.org/uniprot/Q8DZS6
GCA-001026925-protein728.fasta	GCA_001026925	CP010867.1	766337	767111	728	Prolipoprotein diacylglyceryl transferase	http://purl.uniprot.org/uniprot/Q3K1W8
GCA-000599965-protein579.fasta	GCA_000599965	CP007482.1	580181	581615	579		
GCA-000831105-protein1585.fasta	GCA_000831105	CP007572.1	1660658	1661324	1585	Amino acid ABC transporter permease	http://purl.uniprot.org/uniprot/S9L2B5
GCA-000730255-protein1414.fasta	GCA_000730255	CP007632.1	1480372	1481329	1414	Oxidoreductase, Gfo/Idh/MocA family	http://purl.uniprot.org/uniprot/Q8DYE2
GCA-000782855-protein2513.fasta	GCA_000782855	CP006910.1	553644	553890	2513	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0002BA953C
GCA-000689235-protein351.fasta	GCA_000689235	HG939456.1	381552	381849	351	Ecs transporter-like protein	http://purl.uniprot.org/uniprot/X5K165
GCA-000730215-protein2628.fasta	GCA_000730215	CP007631.2	639492	639696	2628	Excisionase	http://purl.uniprot.org/uniprot/D7PTT7
GCA-001190805-protein2558.fasta	GCA_001190805	CP011325.1	575186	576464	2558	group II intron reverse transcriptase/maturase	http://purl.uniprot.org/uniparc/UPI00067FE696
GCA-000782855-protein3099.fasta	GCA_000782855	CP006910.1	1156067	1156460	3099	LrgA family protein	http://purl.uniprot.org/uniprot/E7S410
GCA-001275545-protein3626.fasta	GCA_001275545	CP012419.2	1739651	1740161	3626	CHAP domain-containing protein	http://purl.uniprot.org/uniprot/F8Y2T7
GCA-000007265-protein802.fasta	GCA_000007265	AE009948.1	819956	820220	802	Phosphocarrier protein HPr	http://purl.uniprot.org/uniprot/E7S4U8
GCA-000967445-protein2504.fasta	GCA_000967445	FO393392.1	372854	373607	2504	Uncharacterized protein	http://purl.uniprot.org/uniprot/E7S6R8
GCA-000782855-protein2905.fasta	GCA_000782855	CP006910.1	959635	960694	2905	replication initiation factor domain-containing protein	http://purl.uniprot.org/uniparc/UPI0002BC4AA9
GCA-000007265-protein717.fasta	GCA_000007265	AE009948.1	730131	730395	717	PspC domain protein	http://purl.uniprot.org/uniprot/E7S534
GCA-001592385-protein1818.fasta	GCA_001592385	CP010874.1	1865716	1866025	1818	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A0E1EJU7
GCA-000782855-protein2542.fasta	GCA_000782855	CP006910.1	573080	573284	2542	hypothetical protein	http://purl.uniprot.org/uniparc/UPI00005C82D4
GCA-000689235-protein1936.fasta	GCA_000689235	HG939456.1	2013398	2014235	1936		
GCA-001266635-protein1180.fasta	GCA_001266635	CP010319.1	1237692	1239513	1180	conjugal transfer protein TraG	http://purl.uniprot.org/uniparc/UPI00069DBADD
GCA-000831105-protein1567.fasta	GCA_000831105	CP007572.1	1648189	1649629	1567	Trk system potassium transporter TrkH	http://purl.uniprot.org/uniprot/S9KX79
GCA-000831105-protein605.fasta	GCA_000831105	CP007572.1	615418	615775	605	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A1F0CIL6
GCA-001275545-protein3725.fasta	GCA_001275545	CP012419.2	1844477	1846085	3725	Glucohydrolase	http://purl.uniprot.org/uniprot/A0A1J7W4P3
GCA-000831105-protein1781.fasta	GCA_000831105	CP007572.1	1861001	1863920	1781	Transposase	http://purl.uniprot.org/uniprot/J6Q8S0
GCA-000730255-protein449.fasta	GCA_000730255	CP007632.1	486879	487149	449		
GCA-000007265-protein589.fasta	GCA_000007265	AE009948.1	597124	598096	589	Uncharacterized protein	http://purl.uniprot.org/uniprot/Q8E0W2
GCA-001026925-protein1578.fasta	GCA_001026925	CP010867.1	1648327	1649206	1578	Shikimate dehydrogenase (NADP(+))	http://purl.uniprot.org/uniprot/Q8DY14
GCA-000007265-protein397.fasta	GCA_000007265	AE009948.1	423099	423633	397	UPF0374 protein gbs0446	http://purl.uniprot.org/uniprot/Q8E6W2
GCA-001592385-protein1701.fasta	GCA_001592385	CP010874.1	1738056	1738731	1701	Chemotaxis protein CheY	http://purl.uniprot.org/uniprot/A0A0E1ENZ9
GCA-000782855-protein2525.fasta	GCA_000782855	CP006910.1	560095	560704	2525	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0002B9FCD2
GCA-000302475-protein193.fasta	GCA_000302475	CP003919.1	212337	214416	193		
GCA-001190825-protein1595.fasta	GCA_001190825	CP011326.1	1678018	1679260	1595	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0009A54D69
GCA-001266635-protein908.fasta	GCA_001266635	CP010319.1	962821	963535	908	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0002BC6C90
GCA-000007265-protein380.fasta	GCA_000007265	AE009948.1	402672	403359	380	DNA-binding response regulator	http://purl.uniprot.org/uniprot/F8XYM7
GCA-000007265-protein1795.fasta	GCA_000007265	AE009948.1	1848047	1848590	1795	Prophage LambdaSa2, protease, putative	http://purl.uniprot.org/uniprot/Q8DXJ7
GCA-000730215-protein3352.fasta	GCA_000730215	CP007631.2	1407997	1408654	3352	Hemolysin III, putative	http://purl.uniprot.org/uniprot/A0A075N1T5
GCA-001026925-protein1707.fasta	GCA_001026925	CP010867.1	1782321	1783413	1707	Putative L-ascorbate 6-phosphate lactonase	http://purl.uniprot.org/uniprot/F8Y2X2
GCA-001026925-protein1261.fasta	GCA_001026925	CP010867.1	1329896	1330370	1261	Acetyltransferase	http://purl.uniprot.org/uniprot/S9B901
GCA-001592385-protein1813.fasta	GCA_001592385	CP010874.1	1861597	1862443	1813	Phosphate transport system permease protein	http://purl.uniprot.org/uniprot/A0A0H1FTQ2
GCA-001655175-protein1690.fasta	GCA_001655175	CP015976.1	1674428	1675277	1690		
GCA-000427035-protein3035.fasta	GCA_000427035	HF952104.1	1304542	1305298	3035	DeoR/GlpR transcriptional regulator	http://purl.uniprot.org/uniparc/UPI0002BBB637
GCA-000427075-protein3245.fasta	GCA_000427075	HF952105.1	1245556	1245994	3245	GtrA family protein	http://purl.uniprot.org/uniparc/UPI000332E792
GCA-000599965-protein1222.fasta	GCA_000599965	CP007482.1	1208874	1209147	1222	Uncharacterized protein	http://purl.uniprot.org/uniprot/S9KXR1
GCA-000730215-protein3648.fasta	GCA_000730215	CP007631.2	1710065	1710614	3648	UPF0397 protein SAK_1648	http://purl.uniprot.org/uniprot/Q3JZQ2
GCA-000831105-protein1584.fasta	GCA_000831105	CP007572.1	1659527	1660460	1584	Membrane protein insertase YidC 2	http://purl.uniprot.org/uniprot/Q8E3U9
GCA-001190885-protein1992.fasta	GCA_001190885	CP011329.1	146012	147902	1992	DUF2207 domain-containing protein	http://purl.uniprot.org/uniparc/UPI00068309FF
GCA-000007265-protein1854.fasta	GCA_000007265	AE009948.1	1901088	1901430	1854	Preprotein translocase subunit YajC	http://purl.uniprot.org/uniprot/F8Y388
GCA-000730255-protein1806.fasta	GCA_000730255	CP007632.1	1873762	1874116	1806	DNA-binding helix-turn-helix protein	http://purl.uniprot.org/uniprot/G5KDV4
GCA-001275545-protein2366.fasta	GCA_001275545	CP012419.2	456664	457573	2366	Glycosyl transferase family 2	http://purl.uniprot.org/uniprot/A0A1J7UX34
GCA-001026925-protein1672.fasta	GCA_001026925	CP010867.1	1747990	1748362	1672	Transcriptional regulator GlnR	http://purl.uniprot.org/uniprot/F8Y2T9
GCA-000730215-protein3310.fasta	GCA_000730215	CP007631.2	1365691	1366426	3310	Antirepressor	http://purl.uniprot.org/uniprot/A0A0E1ENN7
GCA-000012705-protein2772.fasta	GCA_000012705	CP000114.1	681846	682119	2772	Uncharacterized protein	http://purl.uniprot.org/uniprot/F8Y0S3
GCA-000427075-protein3253.fasta	GCA_000427075	HF952105.1	1252327	1252594	3253	hypothetical protein	http://purl.uniprot.org/uniparc/UPI000332DBF9
GCA-000831105-protein1454.fasta	GCA_000831105	CP007572.1	1538326	1539640	1454	GTPase Obg	http://purl.uniprot.org/uniprot/Q3K046
GCA-000196055-protein1369.fasta	GCA_000196055	AL732656.1	1420442	1420889	1369	Uncharacterized protein	http://purl.uniprot.org/uniprot/Q8E4N2
GCA-000782855-protein2200.fasta	GCA_000782855	CP006910.1	234094	235309	2200		
GCA-000427055-protein684.fasta	GCA_000427055	HF952106.1	697843	698755	684		
GCA-001592385-protein510.fasta	GCA_001592385	CP010874.1	505478	506381	510	magnesium transporter CorA family protein	http://purl.uniprot.org/uniparc/UPI0002BBFFEA
GCA-001026925-protein497.fasta	GCA_001026925	CP010867.1	519842	520670	497	Hemolysin A	http://purl.uniprot.org/uniprot/Q8E163
GCA-001552035-protein3401.fasta	GCA_001552035	CP012480.1	1376524	1380124	3401	cell wall anchor protein	http://purl.uniprot.org/uniparc/UPI000764E9E9
GCA-001026925-protein1898.fasta	GCA_001026925	CP010867.1	1976313	1977210	1898	ABC transporter permease protein	http://purl.uniprot.org/uniprot/A0A0E1EK89
GCA-001190805-protein3793.fasta	GCA_001190805	CP011325.1	1875766	1876444	3793	DNA-binding response regulator	http://purl.uniprot.org/uniprot/A0A1F0C5X6
GCA-000007265-protein208.fasta	GCA_000007265	AE009948.1	231275	231668	208	30S ribosomal protein S9	http://purl.uniprot.org/uniprot/E7S6Q6
GCA-000689235-protein1404.fasta	GCA_000689235	HG939456.1	1485708	1486404	1404	Membrane protein	http://purl.uniprot.org/uniprot/S9AYR6
GCA-001275545-protein2028.fasta	GCA_001275545	CP012419.2	104795	105140	2028	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0006AC9B8C
GCA-000007265-protein261.fasta	GCA_000007265	AE009948.1	277409	277667	261	UPF0291 protein SAG0271	http://purl.uniprot.org/uniprot/Q8E1T2
GCA-000689235-protein871.fasta	GCA_000689235	HG939456.1	928202	929225	871	NLP/P60 family lipoprotein	http://purl.uniprot.org/uniprot/A0A1D4QSJ5
GCA-000196055-protein405.fasta	GCA_000196055	AL732656.1	423433	423715	405	Uncharacterized protein	http://purl.uniprot.org/uniprot/F8Y1U7
GCA-001592385-protein1047.fasta	GCA_001592385	CP010874.1	1078506	1079481	1047	ribose-phosphate diphosphokinase	http://purl.uniprot.org/uniparc/UPI0002E9CE4B
GCA-000831145-protein543.fasta	GCA_000831145	CP007570.1	577171	577753	543	site-specific integrase	http://purl.uniprot.org/uniparc/UPI00005C5280
GCA-000007265-protein575.fasta	GCA_000007265	AE009948.1	583438	583675	575	Phage protein	http://purl.uniprot.org/uniprot/Q1CP60
GCA-000782855-protein3246.fasta	GCA_000782855	CP006910.1	1308629	1309700	3246	Carbamoyl-phosphate synthase small chain	http://purl.uniprot.org/uniprot/A0A076Z013
GCA-000730215-protein3287.fasta	GCA_000730215	CP007631.2	1337996	1345640	3287	DNA helicase	http://purl.uniprot.org/uniprot/A0A0E1EMI0
GCA-000730215-protein3625.fasta	GCA_000730215	CP007631.2	1685022	1685880	3625	ABC transporter, substrate-binding protein, family 3	http://purl.uniprot.org/uniprot/E7S2X4
GCA-000831125-protein2771.fasta	GCA_000831125	CP007571.1	647958	648906	2771	ParB-like protein	http://purl.uniprot.org/uniprot/A0A076YZQ3
GCA-000782855-protein2521.fasta	GCA_000782855	CP006910.1	557177	558272	2521	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0002BC716D
GCA-000427035-protein3370.fasta	GCA_000427035	HF952104.1	1646773	1647463	3370	Response regulator receiver domain protein	http://purl.uniprot.org/uniprot/E7S2W1
GCA-001275545-protein2034.fasta	GCA_001275545	CP012419.2	107072	107531	2034	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0006ABF802
GCA-000730215-protein3276.fasta	GCA_000730215	CP007631.2	1326998	1327481	3276	Membrane protein	http://purl.uniprot.org/uniprot/A0A0E1EMH1
GCA-001592385-protein1092.fasta	GCA_001592385	CP010874.1	1115705	1116287	1092	alkaline shock response membrane anchor protein AmaP	http://purl.uniprot.org/uniparc/UPI00005BB33F
GCA-000196055-protein1741.fasta	GCA_000196055	AL732656.1	1799658	1801380	1741	ABC transporter ATP-binding protein	http://purl.uniprot.org/uniprot/S8HF10
GCA-000196055-protein1225.fasta	GCA_000196055	AL732656.1	1259086	1260034	1225	Abortive phage infection protein	http://purl.uniprot.org/uniprot/A0A1A9E1E6
GCA-001190805-protein2989.fasta	GCA_001190805	CP011325.1	1046462	1047008	2989	hypothetical protein	http://purl.uniprot.org/uniparc/UPI00005BB2FC
GCA-001275545-protein3120.fasta	GCA_001275545	CP012419.2	1220478	1220688	3120	Uncharacterized protein	http://purl.uniprot.org/uniprot/S8G417
GCA-000730215-protein3300.fasta	GCA_000730215	CP007631.2	1359083	1359494	3300	Conjugal transfer protein	http://purl.uniprot.org/uniprot/A0A0E1EI08
GCA-000689235-protein278.fasta	GCA_000689235	HG939456.1	304252	305167	278	Thioredoxin reductase	http://purl.uniprot.org/uniprot/Q8E1Q9
GCA-000007265-protein1784.fasta	GCA_000007265	AE009948.1	1836702	1836933	1784	Conserved domain protein	http://purl.uniprot.org/uniprot/Q8DXK9
GCA-000730215-protein3044.fasta	GCA_000730215	CP007631.2	1087091	1087427	3044	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A0E1EMX7
GCA-001190805-protein2465.fasta	GCA_001190805	CP011325.1	478124	480326	2465	alpha-galactosidase	http://purl.uniprot.org/uniparc/UPI00005BB22A
GCA-000831105-protein587.fasta	GCA_000831105	CP007572.1	607268	607544	587	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A1A9DZX4
GCA-000007265-protein1731.fasta	GCA_000007265	AE009948.1	1780197	1780437	1731	D-alanyl carrier protein	http://purl.uniprot.org/uniprot/E7S2H0
GCA-000427075-protein3509.fasta	GCA_000427075	HF952105.1	1510528	1511143	3509		
GCA-001592385-protein757.fasta	GCA_001592385	CP010874.1	762310	763678	757	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase	http://purl.uniprot.org/uniparc/UPI00030E9E20
GCA-000831145-protein1711.fasta	GCA_000831145	CP007570.1	1818319	1818547	1711	hypothetical protein	http://purl.uniprot.org/uniparc/UPI00036A4BF1
GCA-000007265-protein1593.fasta	GCA_000007265	AE009948.1	1644210	1645035	1593	Lipoprotein	http://purl.uniprot.org/uniprot/F8Y2H0
GCA-000007265-protein1808.fasta	GCA_000007265	AE009948.1	1856025	1856517	1808	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A1F0C5N2
GCA-000782855-protein2557.fasta	GCA_000782855	CP006910.1	586845	587262	2557	DUF1366 domain-containing protein	http://purl.uniprot.org/uniparc/UPI00005C8357
GCA-000196055-protein1743.fasta	GCA_000196055	AL732656.1	1803147	1804527	1743	ABC transporter ATP-binding protein	http://purl.uniprot.org/uniprot/S8FU85
GCA-001592385-protein1759.fasta	GCA_001592385	CP010874.1	1805314	1806574	1759	RIP metalloprotease RseP	http://purl.uniprot.org/uniparc/UPI0002F2F121
GCA-000007265-protein1225.fasta	GCA_000007265	AE009948.1	1269657	1270446	1225	Uncharacterized protein	http://purl.uniprot.org/uniprot/G5KBJ2
GCA-000427075-protein2231.fasta	GCA_000427075	HF952105.1	232480	233701	2231	integrase	http://purl.uniprot.org/uniparc/UPI000332DFF8
GCA-000196055-protein1330.fasta	GCA_000196055	AL732656.1	1376584	1378291	1330	Uncharacterized protein	http://purl.uniprot.org/uniprot/Q8E4S1
GCA-000299135-protein3751.fasta	GCA_000299135	CP003810.1	1698945	1700949	3751	transketolase	http://purl.uniprot.org/uniparc/UPI00026431A9
GCA-001026925-protein1980.fasta	GCA_001026925	CP010867.1	2049244	2050429	1980	Site-specific recombinase, phage integrase family	http://purl.uniprot.org/uniprot/E7S1B1
GCA-001448985-protein15.fasta	GCA_001448985	CP013202.1	28902	30246	15	Peptidoglycan hydrolase	http://purl.uniprot.org/uniprot/A0A0E1EET6
GCA-000007265-protein1320.fasta	GCA_000007265	AE009948.1	1368693	1368936	1320	UPF0109 protein HMPREF9171_0864	http://purl.uniprot.org/uniprot/E7S3L8
GCA-000007265-protein1576.fasta	GCA_000007265	AE009948.1	1626270	1627776	1576	ATPase	http://purl.uniprot.org/uniprot/S9BZ54
GCA-000689235-protein575.fasta	GCA_000689235	HG939456.1	606210	606480	575	Uncharacterized protein	http://purl.uniprot.org/uniprot/F8XZ97
GCA-000782855-protein2528.fasta	GCA_000782855	CP006910.1	562491	562743	2528	hypothetical protein	http://purl.uniprot.org/uniparc/UPI00005C853C
